TimeSeries ID,tpu/mxu/utilization.tpu_worker.ALIGN_MEAN.REDUCE_MEAN.resource.type=tpu_worker AND resource.label.project_id="intercloud-320520" AND metric.type="tpu.googleapis.com/tpu/mxu/utilization" AND resource.labels.zone="us-central1-b" AND resource.labels.node_id="test-chain-app-0-train-op".project_id:intercloud-320520.worker_id:0
worker_id,0
project_id,intercloud-320520
Thu Sep 08 2022 20:22:00 GMT-0700 (Pacific Daylight Time),35.98243776211201
Thu Sep 08 2022 20:22:10 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:22:20 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:22:30 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:22:40 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:22:50 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:23:00 GMT-0700 (Pacific Daylight Time),35.16542611615661
Thu Sep 08 2022 20:23:10 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:23:20 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:23:30 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:23:40 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:23:50 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:24:00 GMT-0700 (Pacific Daylight Time),34.72839627131225
Thu Sep 08 2022 20:24:10 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:24:20 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:24:30 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:24:40 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:24:50 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:25:00 GMT-0700 (Pacific Daylight Time),34.197297636302636
Thu Sep 08 2022 20:25:10 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:25:20 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:25:30 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:25:40 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:25:50 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:26:00 GMT-0700 (Pacific Daylight Time),33.77123174058608
Thu Sep 08 2022 20:26:10 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:26:20 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:26:30 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:26:40 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:26:50 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:27:00 GMT-0700 (Pacific Daylight Time),7.105427357601002e-15
Thu Sep 08 2022 20:27:10 GMT-0700 (Pacific Daylight Time),34.990943243813085
Thu Sep 08 2022 20:27:20 GMT-0700 (Pacific Daylight Time),34.990943243813085
Thu Sep 08 2022 20:27:30 GMT-0700 (Pacific Daylight Time),34.990943243813085
Thu Sep 08 2022 20:27:40 GMT-0700 (Pacific Daylight Time),34.990943243813085
